dist,,region,reg_prop,2020_pop,pop_pct,2025_pop,2030_pop,2035_pop,2040_pop,2045_pop,2050_pop,2055_pop,2060_pop,2065_pop,2070_pop,2075_pop,2080_pop,2085_pop,2090_pop,2095_pop,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Ga Central,"'Ga Central',",EASTERN,Eastern,147820,0.48,170112,185186,202368,217753,235152,249413,265344,277492,291600,301750,314112,322093,332160,337374,344880,347784,44876,54554,4.2,
Ga East,"'Ga East',",EASTERN,Eastern,186342,0.6,212640,233445,252960,274500,293940,314411,331680,349807,364500,380387,392640,406031,415200,425294,431100,438417,69023,95337,1.9,
Ga North,"'Ga North',",GREATER ACCRA,Greater Accra,131129,0.42,148848,164276,177072,193166,205758,221251,232176,246159,255150,267678,274848,285724,290640,299280,301770,308514,5207,189894,56.7,
Ga South,"'Ga South',",GREATER ACCRA,Greater Accra,295344,0.95,336680,370001,400520,435070,465405,498327,525160,554428,577125,602897,621680,643541,657400,674073,682575,694872,55446,124154,2.3,
Ga West,"'Ga West',",GREATER ACCRA,Greater Accra,127841,0.41,145304,160156,172856,188322,200859,215703,226648,239987,249075,260967,268304,278560,283720,291775,294585,300779,123559,333434,0.6,
Garu,"'Garu',",GREATER ACCRA,Greater Accra,72634,0.23,81512,90994,96968,106997,112677,122554,127144,136351,139725,148270,150512,158266,159160,165775,165255,170890,3407,708977,48.2,
Gomoa Central,"'Gomoa Central',",GREATER ACCRA,Greater Accra,164304,0.53,187832,205836,223448,242036,259647,277226,292984,308436,321975,335400,346832,358011,366760,374996,380805,386567,7506,177451,10.8,
Gomoa East,"'Gomoa East',",UPPER EAST,Upper East,80694,0.26,92144,101092,109616,118870,127374,136153,143728,151481,157950,164724,170144,175829,179920,184170,186810,189853,53026,423048,3,
Gomoa West,"'Gomoa West',",CENTRAL,Central,159680,0.52,184288,200044,219232,235224,254748,269424,287456,299756,315900,325961,340288,347936,359840,364443,373620,375688,18969,509980,,
Gushegu,"'Gushegu',",CENTRAL,Central,140368,0.45,159480,175850,189720,206776,220455,236840,248760,263503,273375,286538,294480,305856,311400,320366,323325,330251,7774,2976697,,
